run-id,sim.json,crop.json,site.json,climate_data,climate_model,climate_scenario,climate_region,start_year,end_year,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3
47,sim.json,crop_cut2.json,site.json,isimip,IPSL-CM5A-LR,historical,germany,1980,2005,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,360,
48,sim.json,crop_cut3.json,site.json,isimip,IPSL-CM5A-LR,historical,germany,1980,2005,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,360,
49,sim.json,crop_cut4.json,site.json,isimip,IPSL-CM5A-LR,historical,germany,1980,2005,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,360,
50,sim.json,crop_cut5.json,site.json,isimip,IPSL-CM5A-LR,historical,germany,1980,2005,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,360,
51,sim.json,crop_cut1.json,site.json,isimip,IPSL-CM5A-LR,rcp2p6,germany,2025,2095,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,450,
52,sim.json,crop_cut1.json,site.json,isimip,IPSL-CM5A-LR,rcp8p5,germany,2025,2095,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,500,
53,sim.json,crop_cut2.json,site.json,isimip,IPSL-CM5A-LR,rcp2p6,germany,2025,2095,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,450,
54,sim.json,crop_cut2.json,site.json,isimip,IPSL-CM5A-LR,rcp8p5,germany,2025,2095,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,500,
55,sim.json,crop_cut3.json,site.json,isimip,IPSL-CM5A-LR,rcp2p6,germany,2025,2095,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,450,
56,sim.json,crop_cut3.json,site.json,isimip,IPSL-CM5A-LR,rcp8p5,germany,2025,2095,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,500,
57,sim.json,crop_cut4.json,site.json,isimip,IPSL-CM5A-LR,rcp2p6,germany,2025,2095,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,450,
58,sim.json,crop_cut4.json,site.json,isimip,IPSL-CM5A-LR,rcp8p5,germany,2025,2095,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,500,
59,sim.json,crop_cut5.json,site.json,isimip,IPSL-CM5A-LR,rcp2p6,germany,2025,2095,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,450,
60,sim.json,crop_cut5.json,site.json,isimip,IPSL-CM5A-LR,rcp8p5,germany,2025,2095,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,500,
61,sim.json,crop_cut1.json,site.json,isimip,IPSL-CM5A-LR,historical,germany,1980,2005,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,360,
62,sim.json,crop_cut5.json,site.json,isimip,IPSL-CM5A-LR,rcp2p6,germany,2025,2095,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,450,
63,sim.json,crop_cut5.json,site.json,isimip,IPSL-CM5A-LR,rcp8p5,germany,2025,2095,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,500,
